source1_entity_id	source3_entity_id	country	multiplicity	s1_name_raw	s3_name_raw	s1_address_raw	s3_address_raw	normalized_name	normalized_address
S1-977883516	S3-583807628	India	6	Avisa & Co	Avisa Co	House No. 125, Pocket- B Dda Flats, Sukhdev Vihar, New Delhi, South Delhi, Delhi	House No. 125, Pocket- B Dda Flats, Sukhdev Vihar, New Delhi, South Delhi, Delhi	avisa co	house no 125 pocket b dda flats sukhdev vihar new delhi south delhi delhi
S1-941385965	S3-935801464	India	3	Ujjaora Ventures	Ujjaora  Ventures	C/O Kanailal Baroi - Kalicharan Baroi Nr Durga Petrol Pump Malkangiri, Malkangiri, Orissa	C/o Kanailal Baroi - Kalicharan Baroi Nr Durga Petrol Pump Malkangiri, Malkangiri, Orissa	ujjaora ventures	c o kanailal baroi kalicharan baroi nr durga petrol pump malkangiri malkangiri orissa
S1-744735113	S3-319087892	India	3	Bg & Co	Bg Co	F1, Sri Residency 42 Ellaiamman Koil Street, Kotturpuram, Chennai, Tamil Nadu	F1, Sri Residency 42 Ellaiamman Koil Street, Kotturpuram, Chennai, Tamil Nadu	bg co	f1 sri residency 42 ellaiamman koil street kotturpuram chennai tamil nadu
S1-896562760	S3-326067554	India	3	Sdn & Co	Sdn Co	Jyothi Complex, C3, 2Nd Floor, #134/1, Infantry Road, Bangalore, Karnataka	Jyothi Complex, C3, 2Nd Floor, #134/1, Infantry Road, Bangalore, Karnataka	sdn co	jyothi complex c3 2nd floor 134 1 infantry road bangalore karnataka
S1-511631728	S3-233896744	India	3	Rairangpur Infratech	Rairangpur  Infratech	Ward No. 6 Rairangpur, Rairangpur, Mayurbhanj, Orissa	Ward No. 6- Rairangpur, Rairangpur, Mayurbhanj, Orissa	rairangpur infratech	ward no 6 rairangpur rairangpur mayurbhanj orissa
S1-602146683	S3-753149115	India	5	United Investment Pvt Ltd	United Investment Pvt [Ltd]	C/O-Bharat Ch. Mahanta, Madhupur, Via-Dhenkikote, Ghatagaon, Kendujhar, Orissa	C/o-bharat Ch. Mahanta, Madhupur, Via-dhenkikote, Ghatagaon, Kendujhar, Orissa	united investment pvt ltd	c o bharat ch mahanta madhupur via dhenkikote ghatagaon kendujhar orissa
S1-597902473	S3-750668450	India	4	One It	One It	At-Kuruda(Near Jyoti Hospital) Po-Kuruda, Balasore, Orissa	At-kuruda(near Jyoti Hospital) Po-kuruda, Balasore, Orissa	one it	at kuruda near jyoti hospital po kuruda balasore orissa
S1-534595183	S3-902193256	India	6	Electrum Clinic	Electrum  [Clinic]	Plot No. 513, Near Kamala Neheru Girl'S High School, Baghararoad, Baripada, Mayurbhanj, Orissa	Plot No. 513, Near Kamala Neheru Girl's High School, Baghararoad, Baripada, Mayurbhanj, Orissa	electrum clinic	plot no 513 near kamala neheru girl s high school baghararoad baripada mayurbhanj orissa
S1-486286791	S3-169753790	India	5	Positive & Brothers	Positive Brothers	F- 406Chickrand Stn Road, Sailabala Prev. Reading D, Serampore, Hooghly, West Bengal	F- 406Chickrand Stn Road, Sailabala Prev. Reading D, Serampore, Hooghly, West Bengal	positive brothers	f 406chickrand stn road sailabala prev reading d serampore hooghly west bengal
S1-888823752	S3-155407173	India	5	Profound Law Chambers	Profound  Law Chambers	At: Laxmidaspur, Po: Matipaka Via: Basudevpur, Bhadrak, Orissa	At: Laxmidaspur, Po: Matipaka Via: Basudevpur, Bhadrak, Orissa	profound law chambers	at laxmidaspur po matipaka via basudevpur bhadrak orissa
S1-148182078	S3-731417773	India	3	Subal & Brothers	Subal Brothers	Nirala Estate Phase-01 Gh-04, Techzone-Iv, Greater Noida (West), Gautam Budha Naga, R, Uttar Pardesh, Gautam Buddha Nagar, Uttar Pradesh	Nirala Estate Phase-01 Gh-04, Techzone-Iv, Greater Noida (West), Gautam Budha Naga, R, Uttar Pardesh, Gautam Buddha Nagar, Uttar Pradesh	subal brothers	nirala estate phase 01 gh 04 techzone iv greater noida west gautam budha naga r uttar pardesh gautam buddha nagar uttar pradesh
S1-517598749	S3-952743361	India	5	Maxworth Advisors	Maxworth Advisors	2Nd Floor, Braja Nagar, 1St Lane, Nimakhandi, Berhampur, Ganjam, Orissa	2Nd Floor, Braja Nagar, 1St Lane, Nimakhandi, Berhampur, Ganjam, Orissa	maxworth advisors	2nd floor braja nagar 1st lane nimakhandi berhampur ganjam orissa
S1-64281648	S3-234032317	India	3	Maa Traders Private Limited	MAA TRADERS PRIVATE LIMITED	109, Soubhagya Nagar Siripur Delta Square, Bhubaneswar Urban, Bhubaneswar, Khordha, Orissa	109, Soubhagya Nagar Siripur Delta Square, Bhubaneswar Urban, Bhubaneswar, Khordha, Orissa	maa traders private limited	109 soubhagya nagar siripur delta square bhubaneswar urban bhubaneswar khordha orissa
S1-165258783	S3-789771174	India	4	Oxford Steel Private Limited	oxford steel private limited	Ghaduala Nayagarh, Nayagarh, Orissa	Ghaduala Nayagarh, Nayagarh, Orissa	oxford steel private limited	ghaduala nayagarh nayagarh orissa
S1-945290742	S3-599339875	India	5	Fuel & Co	Fuel Co	J-54Goverdhan Pathtagore, Nagar, Ajmer Road, Marudhar, Jaipur, Rajasthan	J-54Goverdhan Pathtagore, Nagar, Ajmer Road, Marudhar, Jaipur, Rajasthan	fuel co	j 54goverdhan pathtagore nagar ajmer road marudhar jaipur rajasthan
S1-778846839	S3-704584681	India	3	First & Sons	First Sons	Ss 1/530, Sitapur Road Yojana Sec A, Aliganj, Lucknow, Uttar Pradesh	Ss 1/530, Sitapur Road Yojana Sec A, Aliganj, Lucknow, Uttar Pradesh	first sons	ss 1 530 sitapur road yojana sec a aliganj lucknow uttar pradesh
S1-36754801	S3-473099993	India	5	India Jan Hospitality Private Limited	INDIA JAN HOSPITALITY PRIVATE LIMITED	Plot No-1652/5861, Nayagarh, Orissa	Plot No-1652/5861, Nayagarh, Orissa	india jan hospitality private limited	plot no 1652 5861 nayagarh orissa
S1-409912250	S3-85089247	India	3	Shiva Tech Private Limited	Shiva Tech Private Limited	Plot No 1453, Khata No 296 Flat No 411, 4Th Floor Oditech Pride, Patia Po Kiit Ps Infocity Khordha, Bhubaneswar, Khordha, Orissa	Plot No 1453, Khata No 296 Flat No 411, 4Th Floor Oditech Pride, Patia Po Kiit Ps Infocity Khordha, Bhubaneswar, Khordha, Orissa	shiva tech private limited	plot no 1453 khata no 296 flat no 411 4th floor oditech pride patia po kiit ps infocity khordha bhubaneswar khordha orissa
S1-817040362	S3-157429060	India	6	Kashinath & Co	Kashinath Co	No.77, 21Stdmaincross, Muthurayaswamy Layout Sunkadakatte, Magadimainroad, Bangalore, Karnataka	No.77, 21Stdmaincross, Muthurayaswamy Layout Sunkadakatte, Magadimainroad, Bangalore, Karnataka	kashinath co	no 77 21stdmaincross muthurayaswamy layout sunkadakatte magadimainroad bangalore karnataka
S1-601586101	S3-227432950	India	6	Rajni & Co	Rajni Co	171-Amadan Pur Khadar, New Delhi, South Delhi, Delhi	171-Amadan Pur Khadar, New Delhi, South Delhi, Delhi	rajni co	171 amadan pur khadar new delhi south delhi delhi
S1-461483562	S3-26837414	India	4	Sampoorna & Co	Sampoorna Co	House No A-22, Block-A Mangolpuri New Delhi, Delhi, North West, Delhi	House No A-22, Block-A Mangolpuri New Delhi, Delhi, North West, Delhi	sampoorna co	house no a 22 block a mangolpuri new delhi delhi north west delhi
S1-121915818	S3-232712622	India	8	Arrowlink Travel Private Limited	arrowlink travel private limited	C/O Chhabil Das Goyal, Plot No. 1657/2493 Gujuratipada, Angul, Orissa	C/o Chhabil Das Goyal, Plot No. 1657/2493 Gujuratipada, Angul, Orissa	arrowlink travel private limited	c o chhabil das goyal plot no 1657 2493 gujuratipada angul orissa
S1-431269012	S3-330237031	India	6	Ayan & Sons	Ayan Sons	C/O Narsing Jaiswal, Begam Ki Haweli, Ward No.48, Patna City, Patna, Bihar	C/O Narsing Jaiswal, Begam Ki Haweli, Ward No.48, Patna City, Patna, Bihar	ayan sons	c o narsing jaiswal begam ki haweli ward no 48 patna city patna bihar
S1-213875688	S3-997015916	India	6	Valli & Co	Valli Co	Door No.1270, Sbn Towers, 2Nd Floor, Trichy Road, Near Sungam, Coimbatore, Tamil Nadu	Door No.1270, Sbn Towers, 2Nd Floor, Trichy Road, Near Sungam, Coimbatore, Tamil Nadu	valli co	door no 1270 sbn towers 2nd floor trichy road near sungam coimbatore tamil nadu
S1-411003830	S3-742382601	India	5	Royal Investments Pvt Ltd	royal investments pvt ltd	Khata No 385/23 Plot No- 69/1732, 70/1732 Malipada Fatak Behind Gm University, Railway Station Road, Sadar, Sambalpur, Orissa	Khata No #385/23 Plot No- 69/1732, 70/1732 Malipada Fatak Behind Gm University, Railway Station Road, Sadar, Sambalpur, Orissa	royal investments pvt ltd	khata no 385 23 plot no 69 1732 70 1732 malipada fatak behind gm university railway station road sadar sambalpur orissa
S1-297956110	S3-311692564	India	5	LVR Elite Pvt Ltd	Lvr-Elite Pvt [Ltd]	Plot No Bl/8, Revenue Plot No 494(P) Kalunga Industrial Estate, Beldihi, Rourkela, Sundargarh, Orissa	Plot No Bl/8, Revenue Plot No 494(P) Kalunga Industrial Estate, Beldihi, Rourkela, Sundargarh, Orissa	lvr elite pvt ltd	plot no bl 8 revenue plot no 494 p kalunga industrial estate beldihi rourkela sundargarh orissa
S1-27938317	S3-36051092	India	6	Bcs & Co	Bcs Co	Flat No. 204, Plot 50, Sector 15 Ghansoli, Navi Mumbai, Thane, Maharashtra	Flat No. 204, Plot 50, Sector 15 Ghansoli, Navi Mumbai, Thane, Maharashtra	bcs co	flat no 204 plot 50 sector 15 ghansoli navi mumbai thane maharashtra
